,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15
0.119,-56.04196677,-7.458172395,-3.486778062,-1.543143793,-0.878905087,-0.793753012,-0.593026131,-0.467723737,-0.379924687,-0.356285088,-0.30377569,-0.276204621,-0.209689669,-0.259462553,-0.204546395
0.123,-56.01643864,-7.434915346,-3.444971466,-1.532680673,-0.83757864,-0.790023759,-0.582532807,-0.451338042,-0.374005636,-0.353721148,-0.302848716,-0.24702986,-0.208856327,-0.254607928,-0.202732871
0.128,-53.13196844,-7.117512239,-3.432202937,-1.505343487,-0.780545549,-0.779924952,-0.576440111,-0.443351344,-0.367356574,-0.353170023,-0.297274504,-0.24379126,-0.205241967,-0.250860663,-0.197638689
0.132,-52.64690841,-7.112730681,-3.279052807,-1.470044612,-0.776366751,-0.773173971,-0.554397781,-0.410212502,-0.350246356,-0.347731891,-0.297034884,-0.238493814,-0.203137782,-0.246048052,-0.194370796
0.136,-50.59616778,-7.091408815,-3.17394728,-1.431061763,-0.768607647,-0.769839797,-0.548358693,-0.407441009,-0.349070132,-0.345265819,-0.294286308,-0.2378731,-0.199729609,-0.243596588,-0.193282893
0.140,-50.08319275,-7.084101958,-3.129554294,-1.420722812,-0.744841518,-0.755350946,-0.544631971,-0.403143132,-0.330035981,-0.336488386,-0.288907158,-0.237363198,-0.19377652,-0.241118981,-0.190210949
0.145,-50.07582173,-7.069938191,-3.077074095,-1.4197358,-0.712367693,-0.752109373,-0.528910209,-0.401459646,-0.326649404,-0.332588056,-0.28739062,-0.235265459,-0.192902247,-0.238380284,-0.188599043
0.149,-47.08955828,-6.936872298,-3.054586828,-1.410004499,-0.698683311,-0.751995345,-0.512386533,-0.388962143,-0.323413101,-0.329137318,-0.271552375,-0.232891289,-0.192433581,-0.230508077,-0.185450118
0.153,-47.0493539,-6.831554989,-3.050667016,-1.35326821,-0.692005181,-0.715459848,-0.4936461,-0.388671738,-0.321833911,-0.325257454,-0.269919813,-0.231568419,-0.189733954,-0.224477681,-0.177557864
0.157,-46.17979327,-6.81444162,-3.042987433,-1.351333884,-0.672661194,-0.710719038,-0.482094759,-0.382898841,-0.318468546,-0.316340669,-0.264495595,-0.217762659,-0.188971579,-0.223297035,-0.176882963
0.162,-45.47937655,-6.763528142,-3.024678945,-1.327207291,-0.659831101,-0.696781332,-0.481248703,-0.382229001,-0.316223811,-0.300966953,-0.263133206,-0.215552952,-0.185619734,-0.213904036,-0.171803768
0.166,-42.68460851,-6.705615216,-2.999920959,-1.32584609,-0.626564234,-0.69165564,-0.477571318,-0.382155384,-0.309143661,-0.299494789,-0.253453045,-0.210214193,-0.185096778,-0.206501133,-0.171153905
0.170,-40.64017434,-6.428609244,-2.974711501,-1.287569704,-0.61302026,-0.688399983,-0.469903518,-0.378122144,-0.299126519,-0.287156998,-0.250032848,-0.202916927,-0.178365944,-0.20463512,-0.16229084
0.174,-40.50029172,-6.319260983,-2.955045633,-1.25305788,-0.60128311,-0.666666021,-0.468115189,-0.367417101,-0.299111814,-0.27202941,-0.246903663,-0.202580562,-0.175560175,-0.195124687,-0.161838985
0.179,-40.33399717,-6.250294114,-2.911081103,-1.2193933,-0.566361509,-0.660634976,-0.466408511,-0.366250201,-0.29618559,-0.260824199,-0.246004928,-0.202138747,-0.1685989,-0.193946299,-0.160585804
0.183,-37.73481835,-5.835003099,-2.908002163,-1.213681241,-0.557573161,-0.658890553,-0.459828948,-0.360156802,-0.292092412,-0.259964942,-0.242448986,-0.196804932,-0.16856087,-0.191897525,-0.158005287
0.187,-37.39782072,-5.729517897,-2.813983811,-1.106557105,-0.553801871,-0.64807641,-0.454614297,-0.358301597,-0.288899921,-0.256153764,-0.241451971,-0.19671051,-0.167739236,-0.190851018,-0.147514896
0.191,-36.46098549,-5.672977936,-2.773185973,-1.101510008,-0.548249164,-0.63945132,-0.450576661,-0.355839912,-0.274480288,-0.255044186,-0.240868605,-0.192719834,-0.167591384,-0.172901621,-0.146649399
0.196,-34.85967159,-5.586899598,-2.771615429,-1.100191903,-0.523061681,-0.619855719,-0.441629602,-0.353873556,-0.268097027,-0.254144403,-0.234351396,-0.191589119,-0.167137083,-0.170480538,-0.145996376
0.200,-34.59461727,-5.449455366,-2.696116078,-1.094029809,-0.521041474,-0.598828014,-0.439401492,-0.345256025,-0.266842092,-0.245974306,-0.231688065,-0.184952948,-0.165975741,-0.169224452,-0.145313974
0.204,-33.99337297,-5.436923727,-2.673845885,-1.064937916,-0.516705187,-0.581638746,-0.434628775,-0.333361146,-0.25369213,-0.245063054,-0.216538988,-0.180821754,-0.163726582,-0.167319677,-0.143362958
