,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15
0.540,7.624587372,0.153879989,0.132901486,0.071104663,0.1604814,0.124964906,0.064300248,0.058915725,0.045484107,0.038056022,0.012949927,0.038809038,0.013623826,0.038418401,0.017201304
0.545,8.050055637,0.324067504,0.29781423,0.079221683,0.164210973,0.126764505,0.076363559,0.061421298,0.049923085,0.043009952,0.013879583,0.038896202,0.015622112,0.039105343,0.01824031
0.549,10.19942816,0.334669927,0.353926558,0.098346242,0.164417333,0.129911925,0.07843567,0.064629075,0.049989142,0.044606399,0.014306603,0.041291636,0.016679118,0.039295477,0.018659515
0.553,10.77325351,0.485358895,0.403887876,0.111958973,0.182392491,0.134003589,0.081982438,0.066707555,0.051829778,0.048777368,0.016204107,0.048724252,0.018702203,0.041948165,0.019828441
0.557,10.79491835,0.604774722,0.404038629,0.130068612,0.207660994,0.140947789,0.084926861,0.069926193,0.054897426,0.049848281,0.020139593,0.051227369,0.022402797,0.04487499,0.021228905
0.562,10.81502073,0.613494282,0.422985004,0.144193216,0.209977161,0.141250033,0.088680647,0.075708904,0.054995775,0.051228532,0.023614296,0.0512363,0.0228132,0.045311594,0.022540611
0.566,11.07048564,0.664772547,0.449433758,0.17907675,0.212862051,0.143382553,0.091375748,0.079158544,0.055498019,0.051759842,0.025180223,0.051865731,0.026983014,0.046397435,0.024844796
0.570,11.18884219,0.666256386,0.486961714,0.181719342,0.21565479,0.155386138,0.093308795,0.080889521,0.056238605,0.052790359,0.026050059,0.051936163,0.027473238,0.052228972,0.028934734
0.574,13.12830729,0.786295584,0.547965879,0.249885579,0.217511776,0.15758671,0.098266577,0.082484563,0.057548908,0.053762031,0.028794875,0.052107536,0.030782003,0.053787193,0.030704527
0.579,13.3221791,0.833397179,0.578935169,0.26551469,0.220371796,0.158954753,0.103621041,0.08930963,0.061320596,0.057739668,0.031907941,0.052692542,0.03160999,0.054451412,0.032734817
0.583,13.66549068,0.869204726,0.591053068,0.290552274,0.225704619,0.160694183,0.115201642,0.096255709,0.063952922,0.058607971,0.037128638,0.055520559,0.032650603,0.054612905,0.034845842
0.587,14.51311408,0.928892137,0.65165635,0.3373798,0.244230606,0.168333212,0.115353409,0.1018931,0.064396628,0.06074574,0.037712018,0.057369057,0.035447495,0.056716044,0.036710614
0.591,14.95466333,1.03560695,0.703571113,0.339183405,0.249789131,0.169504395,0.118731351,0.105725939,0.067123629,0.067235384,0.038637727,0.065161225,0.04270174,0.056943918,0.037216916
0.596,16.35339945,1.087075071,0.735154844,0.375146527,0.249951889,0.17027955,0.119386262,0.117550848,0.067221169,0.067985229,0.043421839,0.067060719,0.042974059,0.059804299,0.040164235
0.600,16.87724467,1.089590002,0.748604452,0.384910441,0.250513597,0.175184879,0.122763798,0.120574145,0.067357607,0.072879991,0.04521967,0.067681241,0.061031067,0.060069939,0.042542939
0.604,17.12281693,1.153004137,0.796427135,0.392522611,0.255599716,0.176254267,0.125852946,0.121070176,0.068170147,0.082953914,0.048057952,0.067783098,0.062746059,0.066435833,0.04562215
0.609,17.13939314,1.217347905,0.812616408,0.392696163,0.266363579,0.182911313,0.134391384,0.123776595,0.078286254,0.085783024,0.048330925,0.074485434,0.068229703,0.06941023,0.050736985
0.613,17.28324227,1.239363542,0.834546788,0.411405074,0.269167894,0.188780722,0.141803269,0.12466337,0.079923895,0.08700932,0.048384452,0.083939555,0.070489734,0.07193453,0.052083601
0.617,17.3311095,1.247851575,0.851049168,0.416994255,0.277057175,0.200402073,0.142660024,0.126154714,0.0800582,0.098415309,0.04886111,0.083966316,0.07448743,0.072008123,0.055154562
0.621,17.52385075,1.252019653,0.88032149,0.422123177,0.277974586,0.217660824,0.148826776,0.130703443,0.081494149,0.099327172,0.04907375,0.084317473,0.075543092,0.078997672,0.055853032
0.626,17.59519229,1.349372597,0.944576674,0.422795509,0.281391355,0.226040986,0.163656583,0.133681203,0.081787206,0.100312102,0.050388711,0.085864367,0.079073202,0.08032144,0.058804355
0.630,17.64844917,1.462680773,0.97082828,0.424644396,0.285108576,0.226144388,0.165531468,0.135891385,0.081897768,0.107939876,0.050800482,0.087242158,0.079094322,0.080928281,0.059026139
0.634,18.31258692,1.553042738,0.978997835,0.463805881,0.290227812,0.233347585,0.184030794,0.139917616,0.086959456,0.112463299,0.052272778,0.087905688,0.079762758,0.08365407,0.059608229
0.638,19.61603868,1.584331105,1.037301129,0.48482609,0.291877641,0.240259322,0.191794927,0.141131432,0.091857393,0.115710996,0.052483179,0.092065586,0.081731343,0.087283985,0.061512993
0.643,19.7528335,1.6120589,1.119826339,0.497186789,0.294374092,0.254415491,0.197901919,0.142520305,0.092017891,0.118690305,0.052901494,0.092539139,0.084160101,0.090398217,0.063222809
0.647,20.05966283,1.663874189,1.133343154,0.506747708,0.297136127,0.256560081,0.198163496,0.147627731,0.107813951,0.120662402,0.055132261,0.096752486,0.084868616,0.090654686,0.063831755
0.651,20.3280624,1.786619584,1.248332376,0.516392877,0.30471746,0.256986954,0.218757394,0.149973688,0.108824169,0.12716166,0.05994086,0.096927304,0.085438327,0.094728401,0.074611592
0.655,20.60705237,1.787550382,1.248387934,0.523218109,0.326472741,0.26335636,0.220952642,0.150111753,0.108871907,0.128774272,0.061422306,0.098241466,0.086221927,0.095427763,0.08021401
0.660,20.8497468,1.860339991,1.250556755,0.527422646,0.329825094,0.264608803,0.228086359,0.160956195,0.111442821,0.129930216,0.066791475,0.101578126,0.088382353,0.099698951,0.081487014
0.664,20.96308417,1.886373633,1.291146927,0.536898991,0.330249866,0.265623813,0.243805017,0.164100085,0.111950075,0.131091886,0.074267751,0.103566118,0.096231888,0.099919547,0.083258055
0.668,20.98160924,1.922700821,1.319164777,0.55626036,0.331391949,0.28233869,0.245660816,0.168825464,0.115727254,0.131516822,0.074623876,0.110282326,0.103298371,0.101484301,0.083982734
0.672,21.04419071,1.989985272,1.320176343,0.565162679,0.332615955,0.28548315,0.246161594,0.176532228,0.121718185,0.137067081,0.076864445,0.115478562,0.104524911,0.104390968,0.085098894
0.677,21.13553402,2.032881677,1.359097914,0.565187251,0.33406753,0.286049851,0.252782974,0.180222749,0.121729618,0.14155181,0.077884342,0.116291056,0.113310475,0.111279188,0.085203989
0.681,21.35643456,2.0709704,1.431516835,0.566455165,0.33517007,0.286570057,0.262012747,0.181047347,0.139529943,0.14346921,0.078280121,0.116818227,0.115154944,0.111791613,0.092608213
0.685,22.71827019,2.131525942,1.443687835,0.594471545,0.337693762,0.292438571,0.265916393,0.18142313,0.142956263,0.144975778,0.081050885,0.118521424,0.11710892,0.113762488,0.093150856
0.689,23.28631345,2.358151477,1.464690167,0.594543242,0.346561362,0.311278546,0.271184241,0.181485158,0.145949551,0.146870407,0.081109402,0.120842416,0.119768207,0.114709392,0.094378654
0.694,23.35864073,2.438419237,1.555569973,0.60009569,0.370747896,0.32071932,0.276604776,0.185443969,0.147901559,0.148942071,0.083134147,0.121381991,0.127771695,0.116246671,0.095129586
0.698,23.47882915,2.571382718,1.557696768,0.611446911,0.381471253,0.339379027,0.277988298,0.187792577,0.155400625,0.152418978,0.086070271,0.124048589,0.127859902,0.117142659,0.096034941
0.702,23.48881439,2.671781731,1.558831504,0.628656517,0.386381762,0.34285064,0.281820858,0.196139997,0.15896476,0.165352223,0.089480719,0.124547589,0.128120532,0.118019164,0.09892276
0.706,23.55812021,2.924583592,1.674010292,0.638969731,0.386755098,0.397863074,0.28193793,0.221815919,0.159737872,0.166710187,0.091007684,0.126475364,0.130127386,0.11867453,0.102025131
0.711,23.88270531,2.93276801,1.681647535,0.639810826,0.387121263,0.403569413,0.282782186,0.224613871,0.163237969,0.169863652,0.112500267,0.130178217,0.13616128,0.124841029,0.10427707
0.715,24.30669096,3.158808805,1.69453054,0.694986347,0.387631377,0.407522737,0.284721294,0.232108454,0.163635186,0.174975262,0.117664338,0.133651105,0.139572022,0.126438555,0.107888832
0.719,24.67784774,3.239605098,1.791014199,0.719536887,0.388971829,0.437141201,0.288867776,0.235662898,0.166070658,0.178638644,0.127806436,0.133673179,0.146501866,0.128585378,0.112242329
0.723,25.95831322,3.268648743,1.910797671,0.733195512,0.395896367,0.439217933,0.289436499,0.241076846,0.167224536,0.183270207,0.132526067,0.133905731,0.148001528,0.129436671,0.112372827
0.728,26.08973716,3.296950913,1.987987463,0.758589356,0.395917752,0.440148443,0.292954081,0.244243035,0.170482972,0.194484209,0.133526968,0.14034158,0.149593305,0.130088927,0.11431041
0.732,26.31866272,3.362345096,2.003271106,0.767294894,0.411577542,0.455330418,0.293377334,0.254991574,0.180014428,0.197181189,0.135683815,0.140530808,0.152358294,0.132734541,0.118660706
0.736,26.6268512,3.477869488,2.018883138,0.769508537,0.414159226,0.456004762,0.297038001,0.255182127,0.180993977,0.198525453,0.136778064,0.141163096,0.152461504,0.13592906,0.120283334
0.740,26.94006684,3.51958392,2.020679219,0.773836119,0.429870409,0.456274804,0.297301615,0.263178084,0.183287073,0.204479416,0.137217456,0.143320605,0.153246134,0.137531922,0.120659584
0.745,27.08418399,3.541699396,2.14208349,0.773937718,0.439576185,0.457946233,0.309533851,0.267943798,0.18414481,0.20496439,0.140998274,0.148997717,0.15774151,0.141338001,0.124247344
0.749,27.38395694,3.712560487,2.165056898,0.78345467,0.455058553,0.507875771,0.312769775,0.272209795,0.191741741,0.215644887,0.142389195,0.149953455,0.161634168,0.144223419,0.124341517
0.753,29.34629478,3.893029178,2.21470651,0.785615041,0.456911913,0.510566706,0.335184021,0.282933336,0.197642531,0.22046034,0.149900963,0.153961411,0.163368029,0.147676738,0.131175544
0.757,29.63189276,3.985089557,2.29292063,0.801111145,0.489716729,0.52707599,0.342571214,0.313463008,0.205131186,0.220721871,0.151810686,0.156542347,0.163636633,0.149343293,0.131472231
0.762,29.68394185,4.239850997,2.310455096,0.801950952,0.490755689,0.531619009,0.348563556,0.317930289,0.219221894,0.221266241,0.1530436,0.159019814,0.163863311,0.152787442,0.144337023
0.766,29.73438329,4.546005265,2.386044095,0.830056065,0.490930394,0.534801604,0.352625332,0.323556077,0.221733085,0.228664412,0.153725649,0.160545441,0.165178469,0.156097743,0.144842733
0.770,31.19719597,4.780153786,2.392691141,0.844774537,0.503789964,0.541789146,0.353324747,0.32362334,0.238404041,0.229617898,0.157368318,0.166297091,0.166420826,0.158126688,0.146075321
0.774,31.45694119,5.017019126,2.439201524,0.891078268,0.505058787,0.541794154,0.360438832,0.32498365,0.24439988,0.231047578,0.165881966,0.168000564,0.166661048,0.158951107,0.148130302
0.779,32.03357089,5.2210382,2.483008031,0.897382299,0.513091739,0.542933337,0.361657034,0.332565887,0.247152105,0.232238421,0.169211394,0.17187144,0.171467604,0.16309957,0.149209937
0.783,32.31507591,5.37103272,2.497253614,0.901720229,0.515250891,0.550154709,0.372032198,0.334995042,0.257167879,0.23489891,0.170029239,0.174822377,0.171544389,0.165524996,0.150759789
0.787,32.76585004,5.638696173,2.541114367,0.912942826,0.517297094,0.563480827,0.372932531,0.351830592,0.258938805,0.236179741,0.183473144,0.177648661,0.173021585,0.167907808,0.152635956
0.791,33.22624511,5.652189179,2.604953902,0.934062861,0.51757127,0.586694471,0.377992507,0.357865861,0.261259351,0.238733441,0.185337759,0.177966558,0.173227908,0.168288238,0.153757552
0.796,33.34153412,5.663538976,2.641109826,0.960524757,0.521430207,0.594240684,0.394407294,0.375863489,0.264766271,0.242035301,0.200594151,0.179281505,0.173681643,0.173134659,0.155298497
0.800,33.73001228,5.713695247,2.67972162,1.015117489,0.554067784,0.595691156,0.405634949,0.382171062,0.266465754,0.247128617,0.206661258,0.183451216,0.174374039,0.174275586,0.155512483
0.804,34.06140931,5.747069161,2.714985625,1.018846632,0.566806268,0.596771615,0.432977253,0.382451839,0.272890095,0.252705709,0.207880107,0.185949783,0.174940279,0.175059137,0.15606795
0.809,36.06497558,5.927828177,2.807529061,1.027477384,0.587022685,0.599846071,0.438287499,0.385752223,0.2741868,0.266370838,0.20869774,0.186890661,0.176834812,0.178889178,0.161119661
0.813,36.12911947,6.235839645,2.898447809,1.08197458,0.593205455,0.601580516,0.452582475,0.394269242,0.279518029,0.289153101,0.212518018,0.187019298,0.182827794,0.179127231,0.164301148
0.817,36.34243489,6.449061508,2.980164085,1.15875679,0.61887122,0.605565775,0.458989917,0.394552479,0.281098846,0.292685987,0.218742768,0.195744482,0.183899201,0.179804445,0.164721148
0.821,36.44804936,6.488786119,3.014441915,1.201447728,0.631037459,0.617824748,0.462334882,0.403772148,0.28333859,0.295751231,0.219261862,0.199918314,0.185313843,0.19164188,0.167458339
0.826,36.96228371,6.693295044,3.053234649,1.252823213,0.641137994,0.622518459,0.487214153,0.40391053,0.283341484,0.296132271,0.220437763,0.206421097,0.187413008,0.193809389,0.172901958
0.830,37.28282225,6.697862412,3.092301607,1.337705307,0.651946988,0.62864093,0.499079174,0.408411892,0.286141395,0.312747515,0.225913218,0.208045965,0.187595336,0.19408388,0.174342273
0.834,38.42670127,7.194739115,3.154897697,1.392640621,0.652606427,0.637311389,0.502065424,0.419550442,0.287291152,0.31356491,0.23026672,0.212428231,0.189983281,0.197872255,0.174649612
0.838,39.21941636,7.270467576,3.156653171,1.409884584,0.665742767,0.703779473,0.50246043,0.42894387,0.290480554,0.330244849,0.232373905,0.214470806,0.190952735,0.198779105,0.177869735
0.843,39.4032564,7.391427517,3.206869932,1.410429535,0.669876783,0.714739168,0.50682712,0.430881418,0.300257407,0.334655556,0.233262141,0.233461739,0.195307271,0.200054073,0.181644375
0.847,40.38970278,7.469551876,3.302796677,1.415804227,0.676674894,0.715357605,0.510299178,0.439609806,0.312138398,0.336994063,0.238082175,0.239636681,0.198438362,0.200775183,0.183498992
0.851,42.35926533,7.573615715,3.364187578,1.487798442,0.677302928,0.728284907,0.523952176,0.479179288,0.321450587,0.347657631,0.243402586,0.246839698,0.198996322,0.209384182,0.184471578
0.855,42.5924209,7.596805395,3.432315385,1.491312771,0.680949718,0.756370111,0.541033918,0.506675778,0.322429992,0.349491345,0.256129058,0.249274478,0.199464548,0.212497857,0.185011214
0.860,42.7307144,7.771207402,3.480586514,1.49839836,0.688578525,0.759999085,0.557980478,0.508915446,0.336082278,0.354524649,0.259911468,0.255548191,0.20342721,0.212500112,0.185540572
0.864,43.11357144,7.867269701,3.487646872,1.50774436,0.692982994,0.796119002,0.562412719,0.512797941,0.343568174,0.356104827,0.267304863,0.2610999,0.209375343,0.214960875,0.191379022
0.868,43.15374484,8.027961744,3.636808343,1.528687585,0.700868711,0.801915635,0.57376493,0.519062129,0.350150552,0.360961745,0.27169824,0.27166489,0.214681898,0.217262189,0.194973003
0.872,43.41297677,8.030572715,3.660944568,1.59145497,0.720469498,0.803078092,0.586160577,0.521781904,0.358068742,0.366678993,0.278695029,0.271998949,0.222899369,0.21847276,0.194994928
0.877,46.73177504,8.956359227,3.681714839,1.617050021,0.752901323,0.810661097,0.597492273,0.537633507,0.366877909,0.367221136,0.291849795,0.274756345,0.225465917,0.231930196,0.198195041
0.881,48.26051259,8.977007153,3.959086618,1.62329282,0.756828284,0.834751282,0.599888235,0.540784949,0.367406476,0.367331655,0.302874098,0.27624116,0.234321235,0.232970899,0.201642551
0.885,49.14373263,9.108436722,4.069029475,1.657807796,0.776989107,0.841513214,0.615301252,0.569975624,0.372197643,0.37413161,0.304139779,0.279706856,0.236259059,0.234008701,0.201993443
0.889,49.50545469,9.283943426,4.192240992,1.69959587,0.803329245,0.859606808,0.624452228,0.571124481,0.377362398,0.378254416,0.305649313,0.281085384,0.236705161,0.23414133,0.205161844
0.894,50.20019976,9.300025296,4.230727672,1.717313398,0.809384926,0.864242228,0.634656276,0.575136834,0.382853245,0.378946924,0.307527721,0.281631768,0.242927737,0.236274514,0.207620619
0.898,51.96110189,9.418410568,4.360061287,1.755522515,0.834564952,0.866456676,0.656656164,0.580238569,0.383675836,0.383792058,0.312211406,0.283684125,0.249247415,0.249281001,0.222730891
0.902,52.27432131,9.627598012,4.500198971,1.867865355,0.841634375,0.87334713,0.67035697,0.58782332,0.383866687,0.387575518,0.317592396,0.29321397,0.252742315,0.255644159,0.223271065
0.906,52.42201474,9.70436024,4.511590277,1.868306119,0.843474197,0.882297197,0.679380049,0.608296984,0.387195735,0.390515955,0.32585233,0.296419348,0.260802939,0.262396603,0.226279892
0.911,55.10045689,9.803936049,4.543733013,1.886006738,0.856079195,0.908782222,0.680439246,0.614538663,0.388953689,0.399633944,0.347769137,0.301891689,0.268666838,0.264654229,0.230945302
0.915,55.13825832,9.89167604,4.729878089,1.886148557,0.89998821,0.910027555,0.684502343,0.632053194,0.396085161,0.400420992,0.353199365,0.322577025,0.275233088,0.264683546,0.236580764
0.919,56.37308317,10.07531516,4.849568873,1.911434178,0.934025554,0.915928213,0.722649996,0.634637733,0.416463922,0.406685831,0.399785714,0.327694541,0.296201805,0.267481084,0.241955455
0.923,57.3716907,10.1206558,4.945656106,1.926050247,0.972422909,0.919120478,0.723245591,0.63673432,0.418672163,0.416760932,0.40087011,0.333770704,0.305340174,0.270530199,0.245965897
0.928,58.20775959,10.53386305,4.993261113,1.932153596,0.995862011,0.920635989,0.76391879,0.656049192,0.428737752,0.418086099,0.416303834,0.346598977,0.314329042,0.270750045,0.259574757
0.932,58.87013191,10.66897414,5.022710613,1.953358858,1.020967444,0.945995369,0.765165569,0.658926591,0.432936226,0.430476492,0.434223195,0.348820327,0.315071756,0.271716708,0.277000905
0.936,58.90215244,10.81007991,5.063652691,2.000276514,1.030892552,0.953581578,0.777847638,0.659191581,0.433219968,0.430636693,0.446129939,0.359981226,0.320003431,0.291738329,0.278783334
0.940,60.88944685,11.00829394,5.070108058,2.059343731,1.039435613,0.956454943,0.781544552,0.669904904,0.436436716,0.459576802,0.452832046,0.370339279,0.324808475,0.29232125,0.279412788
0.945,61.59947561,11.15207751,5.076614456,2.081507004,1.06452672,0.964177382,0.809826216,0.685077005,0.476225364,0.461108166,0.474126316,0.372449482,0.325351538,0.293776728,0.280388331
0.949,61.71040345,11.66907982,5.102839491,2.173286127,1.100932654,0.973812429,0.832662198,0.686384911,0.476654948,0.463015859,0.47529585,0.373236392,0.326201253,0.306802951,0.28178183
0.953,64.67956178,12.06892239,5.103637157,2.234271975,1.101849371,0.992892042,0.837153158,0.721287266,0.499524927,0.476944231,0.485071101,0.378043497,0.330829638,0.315075378,0.287763642
0.957,64.85582336,13.05742983,5.147591461,2.298924735,1.12971141,0.993723597,0.899783154,0.731542072,0.536407523,0.49387165,0.518892291,0.38330484,0.332306739,0.3180033,0.288335222
0.962,64.92322754,13.45572105,5.162834135,2.404412536,1.151960943,1.021548326,0.940332804,0.740695687,0.553764143,0.515935824,0.534493363,0.395822298,0.356416355,0.329821871,0.296845716
0.966,65.13002145,13.50085993,5.294094611,2.620784121,1.180354703,1.124762475,1.072521618,0.760694446,0.587399992,0.524874277,0.547276315,0.418420726,0.372359182,0.3358037,0.301344304
0.970,68.41697967,13.54874516,5.529729223,2.717007644,1.189311287,1.306968334,1.088504978,0.838024667,0.670756039,0.627115115,0.548209362,0.422868493,0.38494851,0.35870935,0.305746957
0.974,68.44525973,14.26102069,5.99810709,2.784195659,1.248257078,1.309307463,1.142385446,0.846955167,0.728454241,0.657609849,0.571747498,0.440610268,0.389897006,0.374296396,0.315089002
0.979,71.15817561,14.42236195,6.052014859,2.810686935,1.283551998,1.344233647,1.176396357,0.857540442,0.818982776,0.663987195,0.613838481,0.442400231,0.430846685,0.39532836,0.327175028
0.983,75.02813863,15.19405386,7.275348094,2.880093231,1.336157323,1.440892338,1.248459371,0.863115286,0.847081278,0.674278427,0.641597124,0.461310687,0.462154259,0.409145683,0.342003096
0.987,87.73678262,16.30236164,7.335641661,3.425687885,1.519772648,1.456257354,1.291504982,0.902109304,0.886061392,0.696609667,0.750826574,0.484607493,0.471895326,0.424609524,0.347637575
0.991,91.16477104,18.09064772,7.983802326,4.058121925,1.711928778,1.502229504,1.31598781,0.932351432,0.89732308,0.745788617,0.79900826,0.500377922,0.503235017,0.426573595,0.430393658
0.996,93.95415732,18.56532684,7.996059217,4.284338629,2.265257082,1.547120165,1.732567166,1.095442022,1.090769686,0.936081981,1.04176263,0.587499809,0.535660965,0.445753754,0.51411707
1.000,99.54971905,19.64902632,9.089333055,4.313549869,3.951865542,2.160875252,2.097653314,1.143494586,1.156995127,1.083889493,1.052128664,0.593171544,0.624184986,0.47282566,0.691114104
